cpv_key,cpv_value
51112200-2,Υπηρεσίες εγκατάστασης εξοπλισμού ελέγχου ηλεκτρικού ρεύματος
51121000-6,Υπηρεσίες εγκατάστασης εξοπλισμού γυμναστικής
51220000-0,Υπηρεσίες εγκατάστασης εξοπλισμού ελέγχου
51700000-9,Υπηρεσίες εγκατάστασης εξοπλισμού πυροπροστασίας
51810000-3,Υπηρεσίες εγκατάστασης δεξαμενών
63122000-0,Υπηρεσίες αποθήκευσης αγαθών
71300000-1,Υπηρεσίες μηχανικού
71320000-7,Υπηρεσίες εκπόνησης τεχνικών μελετών
71333000-1,Μηχανολογικές υπηρεσίες
71334000-8,Μηχανολογικές και ηλεκτρολογικές υπηρεσίες
71351914-3,Αρχαιολογικές υπηρεσίες
71354100-5,Υπηρεσίες ψηφιακής χαρτογράφησης
71500000-3,Κατασκευαστικές και συναφείς υπηρεσίες
72000000-5,Υπηρεσίες τεχνολογίας των πληροφοριών: παροχή συμβουλών
72212326-0,Υπηρεσίες ανάπτυξης λογισμικού χαρτογράφησης
72221000-0,Υπηρεσίες παροχής συμβουλών επιχειρησιακής ανάλυσης
72253200-5,Υπηρεσίες υποστήριξης συστημάτων πληροφορικής
72254000-0,Δοκιμές λογισμικού
72262000-9,Υπηρεσίες ανάπτυξης λογισμικού
75211100-9,Διπλωματικές υπηρεσίες
75250000-3,Πυροσβεστικές υπηρεσίες και υπηρεσίες διάσωσης
75251000-0,Πυροσβεστικές υπηρεσίες
75251100-1,Υπηρεσίες καταπολέμησης πυρκαγιών
75251110-4,Υπηρεσίες πρόληψης πυρκαγιών
75251120-7,Υπηρεσίες καταπολέμησης δασοπυρκαγιών
77100000-1,Γεωργικές υπηρεσίες
77111000-1,Ενοικίαση γεωργικών μηχανημάτων με χειριστή
77112000-8,Ενοικίαση χορτοκοπτικών ή γεωργικών μηχανημάτων με χειριστή
77200000-2,Υπηρεσίες δασοκομίας
77210000-5,Υπηρεσίες υλοτομίας
77211000-2,Υπηρεσίες σχετιζόμενες με την υλοτομία
77211100-3,Υπηρεσίες περισυλλογής ξυλείας
77211200-4,Μεταφορά κορμών δένδρων στο εσωτερικό δάσους
77211300-5,Υπηρεσίες υλοτόμισης
77211400-6,Υπηρεσίες κοπής δένδρων
77211500-7,Υπηρεσίες φροντίδας δένδρων
77230000-1,Υπηρεσίες σχετιζόμενες με τη δασοκομία
77231000-8,Υπηρεσίες διαχείρισης δασοκομίας
77231200-0,Υπηρεσίες ελέγχου παρασίτων του δάσους
77231300-1,Υπηρεσίες διαχείρισης δασών
77231600-4,Υπηρεσίες αναδάσωσης
77231900-7,Υπηρεσίες δασικού τομεακού σχεδιασμού
77300000-3,Υπηρεσίες φυτοκομίας
77310000-6,Φύτευση και συντήρηση χώρων πρασίνου
77311000-3,Συντήρηση διακοσμητικών κήπων ή κήπων αναψυχής
77312000-0,Υπηρεσίες εκκαθάρισης από αγριόχορτα
77312100-1,Υπηρεσίες εξόντωσης ζιζανίων
77313000-7,Υπηρεσίες συντήρησης πάρκων
77314000-4,Υπηρεσίες συντήρησης οικοπέδων
77314100-5,Υπηρεσίες χορτοκάλυψης
77315000-1,Υπηρεσίες σποράς
77320000-9,Συντήρηση αθλητικών γηπέδων
77330000-2,Υπηρεσίες επίδειξης φυτών
77340000-5,Κλάδεμα δένδρων και θάμνων
77341000-2,Κλάδεμα δένδρων
77342000-9,Κλάδεμα θάμνων
79132000-8,Υπηρεσίες πιστοποίησης
79311100-8,Υπηρεσίες σχεδιασμού έρευνας
79415200-8,Υπηρεσίες παροχής συμβουλών σε θέματα σχεδιασμού
79421200-3,Υπηρεσίες μελέτης έργων
79930000-2,Ειδικές υπηρεσίες μελετών
79950000-8,Υπηρεσίες διοργάνωσης εκθέσεων και συνεδρίων
80400000-8,Υπηρεσίες εκπαίδευσης ενηλίκων και άλλες εκπαιδευτικές υπηρεσίες
80530000-8,Υπηρεσίες επαγγελματικής κατάρτισης
85312100-0,Υπηρεσίες ημερήσιας φροντίδας
90460000-9,Υπηρεσίες εκκένωσης βόθρων ή σηπτικών δεξαμενών
90500000-2,Υπηρεσίες σχετιζόμενες με απορρίμματα και απόβλητα
90511000-2,Υπηρεσίες αποκομιδής απορριμμάτων
90511100-3,Υπηρεσίες αποκομιδής στερεών αστικών απορριμμάτων
90513000-6,Υπηρεσίες επεξεργασίας και διάθεσης μη επικίνδυνων απορριμμάτων και αποβλήτων
90513200-8,Υπηρεσίες διάθεσης στερεών αστικών απορριμμάτων
90513600-2,Υπηρεσίες αφαίρεσης ιλύος
90513700-3,Υπηρεσίες μεταφοράς ιλύος
90522400-6,Καθαρισμός και επεξεργασία εδάφους
90524400-0,Αποκομιδή - μεταφορά και διάθεση νοσοκομειακών αποβλήτων
90600000-3,Υπηρεσίες καθαριότητας και εξυγίανσης σε αστικές ή αγροτικές ζώνες
90610000-6,Υπηρεσίες καθαρισμού και σάρωσης οδών
90680000-7,Υπηρεσίες καθαρισμού παραλίας
90712100-2,Σχεδιασμός αστικής περιβαλλοντικής ανάπτυξης
90712200-3,Στρατηγικός σχεδιασμός διατήρησης δασών
90713000-8,Υπηρεσίες παροχής συμβουλών για περιβαλλοντικά ζητήματα
90713100-9,Υπηρεσίες παροχής συμβουλών για την υδροδότηση και τα λύματα
90720000-0,Προστασία του περιβάλλοντος
90721100-8,Υπηρεσίες προστασίας του τοπίου
90721700-4,Υπηρεσίες προστασίας ειδών υπό εξαφάνιση
90722000-4,Αποκατάσταση του περιβάλλοντος
90722300-7,Υπηρεσίες αναμόρφωσης γαιών
90910000-9,Υπηρεσίες καθαρισμού
90911200-8,Υπηρεσίες καθαρισμού κτιρίων
90921000-9,Υπηρεσίες απολύμανσης και εξολόθρευσης
90922000-6,Υπηρεσίες καταπολέμησης επιβλαβών εντόμων
98300000-6,Διάφορες υπηρεσίες
98314000-7,Υπηρεσίες χρωματισμού
98371110-8,Υπηρεσίες νεκροταφείων
98371111-5,Υπηρεσίες συντήρησης νεκροταφείου
98390000-3,Λοιπές υπηρεσίες
